Campaign_Goal,Channel_Used,Target_Audience,Language,Location,Customer_Segment,Season,Duration_Days,Acquisition_Cost_Num,pred_ROI,pred_Conversion_Rate,pred_CTR,pred_Engagement_Score,score,why
Increase Sales,Twitter,Women 35-44,English,Los Angeles,Home,Winter,15,6647.5757625202505,4.686063317488447,0.08054820719716169,0.3277420511056848,5.463758948178917,0.41397686116094967,Avoiding Pinterest increases ROI; Higher budget strongly improves ROI; Channel_Used_Instagram contributes -0.02 to ROI; Winter slightly reduces performance
Increase Sales,Instagram,Women 25-34,Spanish,Austin,Technology,Winter,16,8627.560935322279,4.361535052515316,0.07980671193356767,0.330165980164717,5.496067874930455,0.36637934965310104,Avoiding Pinterest increases ROI; Higher budget strongly improves ROI; Language_French contributes +0.03 to ROI
Increase Sales,Twitter,Men 25-34,Spanish,Las Vegas,Home,Winter,20,8625.795441529508,4.359934048092099,0.07964518095941608,0.3301675784946415,5.486678740681608,0.36465457181165,Avoiding Pinterest increases ROI; Higher budget strongly improves ROI; Language_French contributes +0.03 to ROI
Increase Sales,Twitter,Men 35-44,French,New York,Health,Winter,32,8679.492295308977,4.294522159653464,0.0800201144593964,0.33016766291055166,5.442518691883822,0.3529076231533409,Avoiding Pinterest increases ROI; Higher budget strongly improves ROI; Language_French contributes +0.01 to ROI; Target_Audience_Men 35-44 contributes -0.01 to ROI
Increase Sales,Twitter,Men 18-24,French,Miami,Fashion,Winter,17,8620.457631276275,4.246333060297628,0.08059908250705577,0.3301644844973579,5.460910687829375,0.3485217452198554,Avoiding Pinterest increases ROI; Higher budget strongly improves ROI; Target_Audience_Men 18-24 contributes +0.06 to ROI
Increase Sales,Twitter,Men 18-24,English,New York,Home,Winter,38,8618.35176615716,4.23276931871406,0.08044773273327836,0.3301635951834355,5.48809739723654,0.34639784026036363,Avoiding Pinterest increases ROI; Higher budget strongly improves ROI; Target_Audience_Men 18-24 contributes +0.06 to ROI; Not using French slightly lowers ROI
Increase Sales,Instagram,Men 18-24,French,Los Angeles,Health,Winter,28,8622.780247375385,4.247097284149164,0.07984770311260271,0.3301665766823926,5.466995425775421,0.34433433528761037,Avoiding Pinterest increases ROI; Higher budget strongly improves ROI; Target_Audience_Men 18-24 contributes +0.06 to ROI
Increase Sales,Instagram,Men 18-24,Spanish,Austin,Home,Winter,25,7398.909813500819,4.028733052598261,0.08438766326943659,0.3287406033949243,5.498457460476167,0.3252070043800652,Avoiding Pinterest increases ROI; Language_Spanish contributes +0.02 to ROI; Instagram boosts expected ROI; Season_Spring contributes -0.01 to ROI
Increase Sales,Instagram,Men 18-24,French,New York,Health,Winter,20,7400.4467454066535,4.037247707595469,0.08409901531860897,0.3287424531147296,5.499398178498651,0.3250410368526081,Avoiding Pinterest increases ROI; Instagram boosts expected ROI; Language_French contributes +0.01 to ROI
Increase Sales,Instagram,Women 35-44,Spanish,Las Vegas,Health,Winter,31,7401.1296954867785,4.016024048856683,0.08454525946062456,0.32874320214001035,5.516047427443627,0.32470747519409504,Avoiding Pinterest increases ROI; Language_Spanish contributes +0.02 to ROI; Instagram boosts expected ROI; Not using French slightly lowers ROI; Campaign_Goal_Product Launch contributes -0.00 to ROI
